schemaname,tablename,indexname,indexdef
public,associates,associates_pkey,CREATE UNIQUE INDEX associates_pkey ON public.associates USING btree (id)
public,associates,associates_statusId_idx,"CREATE INDEX ""associates_statusId_idx"" ON public.associates USING btree (""statusId"")"
public,associates,associates_teamId_idx,"CREATE INDEX ""associates_teamId_idx"" ON public.associates USING btree (""teamId"")"
public,associates,associates_userId_key,"CREATE UNIQUE INDEX ""associates_userId_key"" ON public.associates USING btree (""userId"")"
public,audit_logs,audit_logs_createdAt_idx,"CREATE INDEX ""audit_logs_createdAt_idx"" ON public.audit_logs USING btree (""createdAt"")"
public,audit_logs,audit_logs_entity_idx,CREATE INDEX audit_logs_entity_idx ON public.audit_logs USING btree (entity)
public,audit_logs,audit_logs_pkey,CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
public,audit_logs,audit_logs_userId_idx,"CREATE INDEX ""audit_logs_userId_idx"" ON public.audit_logs USING btree (""userId"")"
public,cities,cities_p24Id_idx,"CREATE INDEX ""cities_p24Id_idx"" ON public.cities USING btree (""p24Id"")"
public,cities,cities_p24Id_key,"CREATE UNIQUE INDEX ""cities_p24Id_key"" ON public.cities USING btree (""p24Id"")"
public,cities,cities_pkey,CREATE UNIQUE INDEX cities_pkey ON public.cities USING btree (id)
public,cities,cities_provinceId_idx,"CREATE INDEX ""cities_provinceId_idx"" ON public.cities USING btree (""provinceId"")"
public,cma_documents,cma_documents_pkey,CREATE UNIQUE INDEX cma_documents_pkey ON public.cma_documents USING btree (id)
public,contacts,contacts_pkey,CREATE UNIQUE INDEX contacts_pkey ON public.contacts USING btree (id)
public,countries,countries_p24Id_idx,"CREATE INDEX ""countries_p24Id_idx"" ON public.countries USING btree (""p24Id"")"
public,countries,countries_p24Id_key,"CREATE UNIQUE INDEX ""countries_p24Id_key"" ON public.countries USING btree (""p24Id"")"
public,countries,countries_pkey,CREATE UNIQUE INDEX countries_pkey ON public.countries USING btree (id)
public,documents,documents_pkey,CREATE UNIQUE INDEX documents_pkey ON public.documents USING btree (id)
public,email_types,email_types_pkey,CREATE UNIQUE INDEX email_types_pkey ON public.email_types USING btree (id)
public,icon_types,icon_types_pkey,CREATE UNIQUE INDEX icon_types_pkey ON public.icon_types USING btree (id)
public,listing_associate_types,listing_associate_types_pkey,CREATE UNIQUE INDEX listing_associate_types_pkey ON public.listing_associate_types USING btree (id)
public,listing_associates,listing_associates_listingId_associateId_key,"CREATE UNIQUE INDEX ""listing_associates_listingId_associateId_key"" ON public.listing_associates USING btree (""listingId"", ""associateId"")"
public,listing_associates,listing_associates_pkey,CREATE UNIQUE INDEX listing_associates_pkey ON public.listing_associates USING btree (id)
public,listing_building_area_feature_types,listing_building_area_feature_types_pkey,CREATE UNIQUE INDEX listing_building_area_feature_types_pkey ON public.listing_building_area_feature_types USING btree (id)
public,listing_building_area_features,listing_building_area_features_pkey,CREATE UNIQUE INDEX listing_building_area_features_pkey ON public.listing_building_area_features USING btree (id)
public,listing_building_infos,listing_building_infos_listingId_key,"CREATE UNIQUE INDEX ""listing_building_infos_listingId_key"" ON public.listing_building_infos USING btree (""listingId"")"
public,listing_building_infos,listing_building_infos_pkey,CREATE UNIQUE INDEX listing_building_infos_pkey ON public.listing_building_infos USING btree (id)
public,listing_building_zoning_types,listing_building_zoning_types_pkey,CREATE UNIQUE INDEX listing_building_zoning_types_pkey ON public.listing_building_zoning_types USING btree (id)
public,listing_descriptions,listing_descriptions_listingId_key,"CREATE UNIQUE INDEX ""listing_descriptions_listingId_key"" ON public.listing_descriptions USING btree (""listingId"")"
public,listing_descriptions,listing_descriptions_pkey,CREATE UNIQUE INDEX listing_descriptions_pkey ON public.listing_descriptions USING btree (id)
public,listing_document_types,listing_document_types_pkey,CREATE UNIQUE INDEX listing_document_types_pkey ON public.listing_document_types USING btree (id)
