"source_listing_id","url","marketing_url_type_id"
"199988","5gD2RWsMt4c","1"
"199994","AvJcnXfqfnM","1"
"200002","pxBDF2K1P2E","1"
"200004","K20cSjFCjVE","1"
"200017","z9K0qfk_uqI","1"
"200066","/Slngj7X_dDk","1"
"200099","nsv2wUZkVDM","1"
"200108","h52W3xFh_TE","1"
"200124","EIbxkO1kuew","1"
"200128","HkPVzHKr0I8","1"
"200180","u_8rRlk_Fgg","1"
"200213","alCxJaJC7kc","1"
"200242","QICCyfGB8Yg","1"
"200297","Rs8yDZkq78Q","1"
"200302","yS1gO9vSkTM","1"
"200349","opOIh1lDsoA","1"
"200380","nlVwlOOhBG0","1"
"200391","6BF9BwpiwNI","1"
"200406","-r6ei3VuYn8","1"
"200421","hypwvVtHrsI","1"
"200482","mKppOOyDP-8","1"
"200487","ouGrC49zlRA","1"
"200492","/fQidqwMVrC0","1"
"200534","u-xosYq77Kg","1"
"200543","dZ1nkcb0-7A","1"
"200587","IaRHUYlclF0","1"
"200630","yoqsAz_-6CM","1"
"200670","Gp0_vQyl5pQ","1"
"200672","Gp0_vQyl5pQ","1"
"200676","z4NAsw-T6VA","1"
"200685","Gp0_vQyl5pQ","1"
"200688","kWL_RBw3Alg","1"
"200698","hlpjDO_SDHI","1"
"200746","PxCcmYu4JDU","1"
"200769","YvHOP1fTI4M","1"
"200783","H8l5S2Z_67I","1"
"200785","nNl40GVph9g","1"
"200825","i34-kWJfKLE","1"
"200829","Qf9ohhykuyc","1"
"200834","tx4hrI-Vnac","1"
"200866","https://www.youtube.com/watch?v=H-de03RM0JE","1"
"200920","eOpbOMnF7xk","1"
"200946","AfHUUY2ZMo0","1"
"200960","hQfq5x03rmY","1"
"200991","hanD-Fhmt9o","1"
"201044","Mm1HekxUam4","1"
"201068","YL7daiWglUQ","1"
"201084","zLtrHQqNRf4","1"
"201094","tA4VWhmuTZ0&t","1"
"201103","/f_QD1s7vbfo","1"
"201130","gxBQCbqET3M","1"
"201140","=uL3iIRijy84&t=78s","1"
"201141","r9LTHswdDao","1"
"201174","tnSe9VZOBrY","1"
"201233","AbZYMeHj8so","1"
"201249","CmuirPLYBYU","1"
"201260","WuElarVXEqQ","1"
"201274","_DqyiSMJXz0","1"
"201333","myMoQH_erQA","1"
"201335","VkthnTCFtI4","1"
"201342","GvLG0RA6hqM","1"
"201421","yk3h0IXZsQU","1"
"201431","YranFeW4Q2k","1"
"201432","fpsjXzSfw2g","1"
"201441","uu7EQy1r64U","1"
"201505","https://www.youtube.com/watch?v=yx7W1oE9h8M","1"
